cueva,2024-07-03T09:45:37.214Z,1,Acertada
cueva,2024-07-03T09:45:40.730Z,2,Acertada
cueva,2024-07-03T09:45:43.202Z,3,Fallada
cueva,2024-07-03T09:45:46.315Z,4,Acertada
cueva,2024-07-03T09:45:49.079Z,5,Fallada
cueva,2024-07-03T09:45:51.412Z,Resultado Final,3
